bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Jammu (j and k) to Srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),2024-07-18 20:15:00,10h 00m,2024-07-18 06:15:00,1.5,719,"35 Seats available
17 Window"
Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),2024-07-18 20:30:00,09h 30m,2024-07-18 06:00:00,1.1,593,44 Seats available
Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),2024-07-18 16:30:00,10h 00m,2024-07-18 02:30:00,1.0,699,"40 Seats available
20 Window"
Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),2024-07-18 17:15:00,10h 00m,2024-07-18 03:15:00,1.0,699,"40 Seats available
20 Window"
Delhi to Srinagar,DIVA BUS,AC Sleeper (2+1),2024-07-18 15:00:00,17h 00m,2024-07-18 08:00:00,3.4,4999,36 Seats available
Srinagar to Jammu (j and k),Oops! No buses found.,,,,,,,
Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 20:50:00,12h 40m,2024-07-18 09:30:00,4.3,608,"23 Seats available
1 Single"
Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),2024-07-18 20:00:00,12h 55m,2024-07-18 08:55:00,4.1,800,"5 Seats available
3 Window"
Jammu (j and k) to Haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 16:40:00,12h 20m,2024-07-18 05:00:00,4.5,833,"34 Seats available
5 Single"
Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),2024-07-18 21:00:00,12h 55m,2024-07-18 09:55:00,2.5,739,"26 Seats available
3 Single"
Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),2024-07-18 20:30:00,12h 30m,2024-07-18 09:00:00,3.4,548,24 Seats available
Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),2024-07-18 18:00:00,12h 20m,2024-07-18 06:20:00,3.4,585,25 Seats available
Jammu (j and k) to Haridwar,New Pal Travels,A/C Sleeper (2+2),2024-07-18 20:30:00,12h 55m,2024-07-18 09:25:00,3.5,899,32 Seats available
Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:15:00,11h 15m,2024-07-18 08:30:00,4.7,760,23 Seats available
Jammu (j and k) to Delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),2024-07-18 20:20:00,11h 30m,2024-07-18 07:50:00,4.8,499,"28 Seats available
4 Single"
Jammu (j and k) to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),2024-07-18 20:30:00,12h 00m,2024-07-18 08:30:00,4.6,490,32 Seats available
Jammu (j and k) to Delhi,AdTravel Point,A/C Seater / Sleeper (2+2),2024-07-18 15:45:00,13h 15m,2024-07-18 05:00:00,3.8,528,"35 Seats available
18 Window"
Jammu (j and k) to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 20:10:00,13h 35m,2024-07-18 09:45:00,4.5,414,24 Seats available
Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-18 20:15:00,11h 45m,2024-07-18 08:00:00,4.5,950,"31 Seats available
7 Single"
