bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Diphu to Guwahati,Oops! No buses found.,,,,,,,
Guwahati to Diphu,Oops! No buses found.,,,,,,,
Bokolia (assam) to Guwahati,Oops! No buses found.,,,,,,,
Dokmoka to Guwahati,Oops! No buses found.,,,,,,,
Guwahati to Dokmoka,Oops! No buses found.,,,,,,,
Guwahati to Bokolia (assam),Oops! No buses found.,,,,,,,
Langhin (assam) to Guwahati,Oops! No buses found.,,,,,,,
Diphu to Hamren,Oops! No buses found.,,,,,,,
Guwahati to Langhin (assam),Oops! No buses found.,,,,,,,
Guwahati to Manja (assam),Oops! No buses found.,,,,,,,
Manja (assam) to Guwahati,Oops! No buses found.,,,,,,,
Hamren to Diphu,Oops! No buses found.,,,,,,,
