bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),2024-07-18 19:15:00,10h 35m,2024-07-18 05:50:00,3.8,800,"2 Seats available
1 Single"
Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-18 22:30:00,10h 15m,2024-07-18 08:45:00,4.6,600,"13 Seats available
4 Single"
Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:00:00,11h 30m,2024-07-18 08:30:00,4.6,647,21 Seats available
Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:45:00,10h 50m,2024-07-18 08:35:00,4.5,656,"22 Seats available
7 Single"
Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),2024-07-18 22:00:00,11h 30m,2024-07-18 09:30:00,4.5,648,"5 Seats available
3 Window"
Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-18 21:00:00,10h 30m,2024-07-18 07:30:00,4.4,626,"15 Seats available
2 Single"
Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),2024-07-18 20:30:00,11h 30m,2024-07-18 08:00:00,4.4,648,10 Seats available
Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),2024-07-18 21:15:00,10h 30m,2024-07-18 07:45:00,4.5,399,32 Seats available
Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 23:00:00,11h 00m,2024-07-18 10:00:00,4.3,572,"16 Seats available
1 Single"
Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),2024-07-18 23:55:00,11h 15m,2024-07-18 11:10:00,4.3,649,22 Seats available
Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),2024-07-18 23:05:00,10h 25m,2024-07-18 09:30:00,4.2,879,22 Seats available
Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),2024-07-18 20:30:00,10h 30m,2024-07-18 07:00:00,4.4,550,"19 Seats available
6 Single"
Pune to Goa,Indumati Travels,A/C Sleeper (2+1),2024-07-18 22:20:00,10h 10m,2024-07-18 08:30:00,4.2,617,"11 Seats available
2 Single"
Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),2024-07-18 20:00:00,11h 15m,2024-07-18 07:15:00,4.3,399,"20 Seats available
1 Single"
Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),2024-07-18 19:45:00,11h 00m,2024-07-18 06:45:00,4.1,554,15 Seats available
Goa to Pune,Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),2024-07-18 19:00:00,12h 00m,2024-07-18 07:00:00,3.2,800,"15 Seats available
3 Single"
Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-18 21:32:00,08h 50m,2024-07-18 06:22:00,4.8,599,"19 Seats available
4 Single"
Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-18 22:30:00,10h 40m,2024-07-18 09:10:00,4.8,599,"23 Seats available
7 Single"
Goa to Pune,AdShreyash Travels,A/C Sleeper (2+1),2024-07-18 20:00:00,10h 00m,2024-07-18 06:00:00,3.5,477,"17 Seats available
4 Single"
Goa to Pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:35:00,12h 55m,2024-07-18 10:30:00,4.4,475,"26 Seats available
8 Single"
Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 19:30:00,10h 05m,2024-07-18 05:35:00,4.6,600,"12 Seats available
1 Single"
Goa to Pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),2024-07-18 22:30:00,11h 30m,2024-07-18 10:00:00,4.5,513,24 Seats available
Goa to Pune,AdIndumati Travels,A/C Sleeper (2+1),2024-07-18 21:00:00,10h 00m,2024-07-18 07:00:00,4.0,523,"15 Seats available
5 Single"
