bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Guwahati to Shillong,Oops! No buses found.,,,,,,,
Shillong to Tura (Meghalaya),Meghalaya Transport Corporation(MTC) - 163306,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 17:00:00,10h 30m,2024-07-18 03:30:00,3.4,517,2 Seats available
Shillong to Tura (Meghalaya),NETWORK TRAVELS,NON A/C Seater (2+2),2024-07-18 17:00:00,13h 30m,2024-07-18 06:30:00,4.2,600,"32 Seats available
14 Window"
Shillong to Guwahati,Meghalaya Transport Corporation(MTC) - 172215,Force Motors Non A/C Seater Executive (2+2),2024-07-18 15:00:00,03h 00m,2024-07-18 18:00:00,4.2,200,"12 Seats available
4 Window"
Shillong to Guwahati,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),2024-07-18 16:00:00,02h 30m,2024-07-18 18:30:00,3.8,350,"27 Seats available
1 Single"
Tura (Meghalaya) to Shillong,Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 18:30:00,09h 30m,2024-07-18 04:00:00,3.5,517,"5 Seats available
1 Window"
Tura (Meghalaya) to Shillong,NETWORK TRAVELS,NON A/C Seater (2+2),2024-07-18 19:00:00,13h 00m,2024-07-18 08:00:00,3.5,600,"31 Seats available
12 Window"
Shillong to Silchar,Meghalaya Transport Corporation(MTC) - 163308,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 19:15:00,09h 45m,2024-07-18 05:00:00,3.2,384,"16 Seats available
7 Window"
Silchar to Shillong,Meghalaya Transport Corporation(MTC) - 163362,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 18:00:00,09h 30m,2024-07-18 03:30:00,3.0,384,1 Seat available
Silchar to Shillong,Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),2024-07-18 18:30:00,08h 30m,2024-07-18 03:00:00,1.7,600,"28 Seats available
17 Window"
Shillong to Karimganj,Meghalaya Transport Corporation(MTC) - 163360,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 19:15:00,09h 15m,2024-07-18 04:30:00,3.6,371,"3 Seats available
1 Window"
Shillong to Karimganj,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),2024-07-18 20:30:00,08h 30m,2024-07-18 05:00:00,3.7,650,"24 Seats available
14 Window"
Shillong to Karimganj,JAYSIKA,NON A/C Seater Push Back (2+1),2024-07-18 20:00:00,09h 00m,2024-07-18 05:00:00,2.1,700,"23 Seats available
16 Window"
Shillong to Williamnagar (Meghalaya),Meghalaya Transport Corporation(MTC) - 163306,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 17:00:00,12h 00m,2024-07-18 05:00:00,3.3,581,"16 Seats available
5 Window"
Karimganj to Shillong,Meghalaya Transport Corporation(MTC) - 163361,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 18:00:00,09h 30m,2024-07-18 03:30:00,3.0,371,"13 Seats available
4 Window"
Williamnagar (Meghalaya) to Shillong,Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),2024-07-18 17:00:00,11h 00m,2024-07-18 04:00:00,3.0,581,"5 Seats available
1 Window"
Shillong to Hailakandi,Oops! No buses found.,,,,,,,
Shillong to Ramkrishnanagar,Oops! No buses found.,,,,,,,
Hailakandi to Shillong,Oops! No buses found.,,,,,,,
Ramkrishnanagar to Shillong,Oops! No buses found.,,,,,,,
Shillong to Phulbari,Oops! No buses found.,,,,,,,
