bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Kolkata to Siliguri,SBSTC-KOLKATA - SILIGURI - VIA - MALDA - 20:00 (BEL DEPO - 3805,Express (Non AC Seater 2+2),2024-07-18 20:00:00,13h 00m,2024-07-18 09:00:00,4.3,500,"26 Seats available
11 Window"
Kolkata to Siliguri,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),2024-07-18 18:30:00,13h 15m,2024-07-18 07:45:00,4.6,1200,"36 Seats available
4 Single"
Kolkata to Siliguri,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-18 18:45:00,12h 45m,2024-07-18 07:30:00,4.6,1500,"22 Seats available
2 Single"
Kolkata to Siliguri,Greenline,Volvo Multi-Axle A/C Sleeper (2+1),2024-07-18 18:00:00,13h 00m,2024-07-18 07:00:00,4.6,1500,"12 Seats available
2 Single"
Kolkata to Siliguri,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),2024-07-18 19:30:00,13h 15m,2024-07-18 08:45:00,4.5,1200,"41 Seats available
7 Single"
Kolkata to Siliguri,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-18 18:30:00,13h 10m,2024-07-18 07:40:00,4.4,1499,"18 Seats available
2 Single"
Kolkata to Siliguri,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),2024-07-18 18:15:00,12h 00m,2024-07-18 06:15:00,4.4,1200,"46 Seats available
8 Single"
Kolkata to Siliguri,AdExpress Line,Volvo 9600 A/C Seater/Sleeper (2+1),2024-07-18 19:30:00,12h 55m,2024-07-18 08:25:00,4.3,1199,"46 Seats available
6 Single"
Kolkata to Siliguri,Rubi Paribahan,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-18 19:00:00,12h 30m,2024-07-18 07:30:00,4.4,1499,"21 Seats available
5 Single"
Kolkata to Siliguri,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-18 18:30:00,13h 15m,2024-07-18 07:45:00,4.5,1500,"15 Seats available
1 Single"
