bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),2024-07-18 16:00:00,05h 25m,2024-07-18 21:25:00,4.2,692,"40 Seats available
20 Window"
Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),2024-07-18 18:10:00,05h 25m,2024-07-18 23:35:00,3.8,692,"37 Seats available
18 Window"
Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,2024-07-18 22:30:00,05h 01m,2024-07-18 03:31:00,3.0,440,"38 Seats available
19 Window"
Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,2024-07-18 16:30:00,05h 30m,2024-07-18 22:00:00,3.2,440,"41 Seats available
20 Window"
Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),2024-07-18 17:30:00,05h 00m,2024-07-18 22:30:00,4.2,692,"36 Seats available
16 Window"
Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,2024-07-18 22:31:00,05h 29m,2024-07-18 04:00:00,3.3,440,"37 Seats available
17 Window"
Ludhiana to Delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),2024-07-18 22:27:00,06h 33m,2024-07-18 05:00:00,4.6,400,"25 Seats available
6 Single"
Ludhiana to Delhi,Laxmi holidays,VE A/C Sleeper (2+1),2024-07-18 23:55:00,06h 50m,2024-07-18 06:45:00,4.4,513,29 Seats available
Ludhiana to Delhi,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 22:50:00,06h 55m,2024-07-18 05:45:00,4.3,484,"15 Seats available
4 Single"
Ludhiana to Delhi,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),2024-07-18 22:50:00,07h 10m,2024-07-18 06:00:00,3.5,524,"37 Seats available
5 Single"
Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-18 22:45:00,07h 35m,2024-07-18 06:20:00,4.6,493,"18 Seats available
3 Single"
Ludhiana to Delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 23:55:00,06h 10m,2024-07-18 06:05:00,4.4,362,"25 Seats available
3 Single"
Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),2024-07-18 23:15:00,05h 50m,2024-07-18 05:05:00,3.7,361,34 Seats available
Ludhiana to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 23:50:00,06h 50m,2024-07-18 06:40:00,4.7,449,26 Seats available
Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-18 23:40:00,06h 20m,2024-07-18 06:00:00,4.6,453,"25 Seats available
8 Single"
Ludhiana to Delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),2024-07-18 23:25:00,05h 55m,2024-07-18 05:20:00,4.2,499,"18 Seats available
9 Window"
Ludhiana to Delhi,New Navyug Travels,A/C Sleeper (2+1),2024-07-18 23:00:00,06h 30m,2024-07-18 05:30:00,3.8,675,"25 Seats available
6 Single"
Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),2024-07-18 18:00:00,05h 50m,2024-07-18 23:50:00,3.5,361,30 Seats available
