bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Jodhpur to Ajmer,B.R. Travels,AC Sleeper (2+1),2024-07-18 18:30:00,04h 30m,2024-07-18 23:00:00,New,599,20 Seats available
Jodhpur to Ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),2024-07-18 18:35:00,04h 50m,2024-07-18 23:25:00,3.0,400,"34 Seats available
10 Single"
Jodhpur to Ajmer,FlixBus,A/C Sleeper (2+1),2024-07-18 19:00:00,04h 50m,2024-07-18 23:50:00,5.0,104,20 Seats available
Jodhpur to Ajmer,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),2024-07-18 20:30:00,04h 45m,2024-07-18 01:15:00,3.8,500,37 Seats available
Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 21:16:00,05h 00m,2024-07-18 02:16:00,3.5,400,"29 Seats available
4 Single"
Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),2024-07-18 21:45:00,06h 00m,2024-07-18 03:45:00,3.6,400,"37 Seats available
10 Single"
Jodhpur to Ajmer,Deepak Travells,NON AC Seater / Sleeper 2+1,2024-07-18 21:50:00,07h 10m,2024-07-18 05:00:00,3.3,500,"40 Seats available
5 Single"
Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),2024-07-18 22:15:00,04h 40m,2024-07-18 02:55:00,3.6,400,"37 Seats available
10 Single"
Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),2024-07-18 22:26:00,04h 45m,2024-07-18 03:11:00,3.5,650,"33 Seats available
21 Window"
Jodhpur to Ajmer,Swagat Travels,A/C Seater / Sleeper (2+1),2024-07-18 22:42:00,04h 08m,2024-07-18 02:50:00,3.4,400,"46 Seats available
28 Window"
Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),2024-07-18 22:45:00,04h 30m,2024-07-18 03:15:00,3.2,500,"34 Seats available
10 Single"
Jodhpur to Ajmer,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),2024-07-18 23:30:00,04h 30m,2024-07-18 04:00:00,4.0,400,"33 Seats available
5 Single"
Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 23:40:00,04h 35m,2024-07-18 04:15:00,3.5,550,"35 Seats available
22 Window"
Jodhpur to Ajmer,Shri Ganesh Travels,A/C Seater / Sleeper (2+1),2024-07-18 23:55:00,04h 35m,2024-07-18 04:30:00,3.8,450,"38 Seats available
10 Single"
Jodhpur to Ajmer,Shre Ganesh Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-18 23:59:00,04h 16m,2024-07-18 04:15:00,3.2,600,"38 Seats available
10 Single"
Beawar (Rajasthan) to Jaipur (Rajasthan),Jain travels regd,A/C Seater / Sleeper (2+1),2024-07-18 17:20:00,03h 25m,2024-07-18 20:45:00,3.5,300,"34 Seats available
22 Window"
Beawar (Rajasthan) to Jaipur (Rajasthan),Jain travels regd,AC Sleeper (2+1),2024-07-18 18:15:00,04h 00m,2024-07-18 22:15:00,3.5,500,"34 Seats available
22 Window"
Beawar (Rajasthan) to Jaipur (Rajasthan),Jain travels regd,NON AC Seater / Sleeper 2+1,2024-07-18 19:30:00,03h 30m,2024-07-18 23:00:00,3.5,350,"41 Seats available
27 Window"
