bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Gangtok to Siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),2024-07-18 15:30:00,04h 05m,2024-07-18 19:35:00,New,500,28 Seats available
Siliguri to Gangtok,Oops! No buses found.,,,,,,,
Siliguri to Rangpo,Oops! No buses found.,,,,,,,
Rangpo to Siliguri,Oops! No buses found.,,,,,,,
Siliguri to Pelling (Sikkim),Oops! No buses found.,,,,,,,
Pelling (Sikkim) to Siliguri,Oops! No buses found.,,,,,,,
Ravangla (Sikkim) to Siliguri,Oops! No buses found.,,,,,,,
Siliguri to Jorethang (Sikkim),Oops! No buses found.,,,,,,,
Singtham (Sikkim) to Siliguri,Oops! No buses found.,,,,,,,
Siliguri to Singtham (Sikkim),Oops! No buses found.,,,,,,,
Siliguri to Namchi (Sikkim),Oops! No buses found.,,,,,,,
Siliguri to Ravangla (Sikkim),Oops! No buses found.,,,,,,,
Jorethang (Sikkim) to Siliguri,Oops! No buses found.,,,,,,,
Namchi (Sikkim) to Siliguri,Oops! No buses found.,,,,,,,
Siliguri to Melli (Sikkim),Oops! No buses found.,,,,,,,
