bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),2024-07-18 23:30:00,05h 00m,2024-07-18 04:30:00,4.4,400,"10 Seats available
4 Window"
Kolkata to Digha,Express Line,Volvo 9600 A/C Seater (2+2),2024-07-18 23:45:00,05h 00m,2024-07-18 04:45:00,4.4,499,"23 Seats available
11 Window"
Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),2024-07-18 23:45:00,05h 00m,2024-07-18 04:45:00,4.3,400,"21 Seats available
9 Window"
Kolkata to Digha,Mayuri Express,AC Seater (2+2),2024-07-18 23:15:00,05h 15m,2024-07-18 04:30:00,4.1,416,"19 Seats available
9 Window"
Kolkata to Digha,City Express (Shinjini),AC Seater (2+3),2024-07-18 23:50:00,05h 05m,2024-07-18 04:55:00,3.5,370,"20 Seats available
7 Window"
Kolkata to Digha,Sagufta Travels (Bhorpet Travels),AC Seater (2+2),2024-07-18 23:55:00,04h 40m,2024-07-18 04:35:00,4.1,415,"24 Seats available
12 Window"
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),2024-07-18 23:45:00,05h 15m,2024-07-18 05:00:00,3.1,285,"36 Seats available
13 Window"
Kolkata to Digha,AdSagufta Travels (Mayuri),A/C Seater (2+2),2024-07-18 23:15:00,04h 45m,2024-07-18 04:00:00,4.9,415,13 Seats available
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+2),2024-07-18 23:50:00,04h 55m,2024-07-18 04:45:00,3.3,285,"26 Seats available
12 Window"
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),2024-07-18 23:59:00,05h 01m,2024-07-18 05:00:00,2.9,285,"41 Seats available
15 Window"
Kolkata to Digha,Basu Travels,A/C Seater / Sleeper (2+2),2024-07-18 23:59:00,05h 01m,2024-07-18 05:00:00,3.4,369,"30 Seats available
16 Window"
Kolkata to Digha,Snemita Paribahan (Bhorpet),AC Seater (2+2),2024-07-18 23:55:00,04h 50m,2024-07-18 04:45:00,3.7,420,"28 Seats available
7 Single"
Kolkata to Digha,Ankita Paribahan(Janhabi),A/C Seater Push Back (2+3),2024-07-18 16:45:00,04h 35m,2024-07-18 21:20:00,3.5,389,"31 Seats available
12 Window"
Kolkata to Digha,Mayuri Express,A/C Seater (2+3),2024-07-18 18:20:00,04h 30m,2024-07-18 22:50:00,4.0,278,61 Seats available
Kolkata to Digha,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),2024-07-18 23:59:00,05h 01m,2024-07-18 05:00:00,2.9,365,"32 Seats available
12 Window"
